Model,Type,2011,2012,2013,2014,2015,2016
Nissan LEAF,EV,"9,674","9,819","22,610","30,200","17,269","14,006"
Chevrolet Volt PHEV,PHEV,"7,671","23,461","23,094","18,805","15,393","24,739"
Tesla Model S,EV,0,"2,171","19,000","16,750","26,200","29,156"
Toyota Prius Prime Plug-in,PHEV,0,"12,749","12,088","13,264","4,191","2,474"
Ford Fusion Energi,PHEV,0,0,"6,089","11,550","9,750","15,938"
Ford C-MAX Energi PHEV,PHEV,0,"2,374","7,154","8,433","7,591","7,957"
BMW i3,EV,0,0,0,"6,092","11,004","7,625"
Ford Focus EV,EV,0,683,"1,738","1,964","1,582",872
Fiat 500E,EV,0,0,260,"1,503","4,569",0
Smart forTwo EV,EV,0,137,923,"2,594","1,387",657
VW e-Golf,EV,0,0,0,357,"4,232",0
Chevrolet Spark,EV,0,0,560,"1,145","2,629","3,035"
BMW i8,PHEV,0,0,0,555,"2,265","1,594"
Mercedes B-Class Electric,EV,0,0,0,774,"1,906",632
Toyota RAV4 EV,EV,0,192,"1,005","1,184",18,0
Cadillac ELR,PHEV,0,0,6,"1,310","1,024",534
Mitsubishi i-MiEV,EV,76,588,"1,029",196,115,94
Porsche Panamera S E-Hybrid,PHEV,0,0,51,879,407,393
Porsche Cayenne S E-Hybrid,PHEV,0,0,0,112,"1,163","2,111"
Kia Soul EV,EV,0,0,0,250,"1,015","1,728"
Honda Fit EV,EV,0,93,569,407,2,0
Honda Accord,PHEV,0,0,526,449,63,0
BMW Active E,EV,0,965,0,0,0,0
BMW X5,PHEV,0,0,0,0,892,"5,995"
Smart ED,PHEV,310,2,0,0,0,0
Tesla Model X,EV,0,0,0,0,208,"18,028"
Mercedes S550 Plug in,PHEV,0,0,0,0,118,550
Volvo XC90,PHEV,0,0,0,0,86,"2,020"